"Timestamp","Selecciona tu sexo 👤","¿Cuántos años tienes? 🎂","¿Cuál es tu situación sentimental? ❤️","¿Trabajas? 💼","¿Tienes hijos? 🍼","¿Cuál es tu código postal?","¿A qué carrera ingresaste?","¿En qué grupo estás?","¿Qué tanto evitaste que tu carrera tuviera matemáticas?","Esta carrera ¿Fue tu primera opción?","¿La FES Acatlán fue tu primera opción para cursar esta carrera?","¿De qué bachillerato provienes?","¿Qué promedio obtuviste en el bachillerato?","Si tuvieras que volver a clases presenciales ¿Cuánto tiempo tardarías en minutos en llegar a la FES Acatlán? ⏱","¿Cuánto gastarías de pasaje / gasolina a la semana?","¿A cuánto asciende el ingreso mensual neto de todas las personas que trabajan y viven contigo?","¿En dónde tomas tus clases en línea?","¿Cuántas personas viven contigo?","De las personas que viven contigo ¿Cuántas toman clases en línea?","De las personas que viven contigo ¿Cuántas trabajan en línea?","¿Cuántas computadoras hay en tu casa?","¿Cómo funciona tu internet para las clases en línea?","Hazle un test a tu Internet (ingresando a speedtest.net) y compártenos su velocidad","¿Qué sistema operativo tiene la computadora que utilizas para estudiar en línea?","¿Con cuántas personas compartes habitación mientras tomas clases en línea?","Aproximadamente ¿Cuánto has gastado para adaptarte a las clases en línea?","Del 1 al 5 ¿Qué tan bien estaban preparados tus profesores para dar clases en línea?","¿Cuánto tiempo en minutos dedicas a estudiar fuera de las clases en línea?","Aproximadamente ¿Cuántas veces revisas tu celular mientras estás en una clase en línea?","Del 1 al 5 ¿Cuánto extrañas las clases presenciales? 📖","Del 1 al 5 ¿Cuánto extrañas convivir con tus compañeros o amigos de la escuela? 👩🏻‍🤝‍🧑🏼","Del 1 al 5 ¿Cuánto extrañas las actividades extras que ofrecía tu escuela? ⚽🎹🎬","Del 1 al 5 ¿Cuánto te agrada poner la cámara en las clases en línea?","Del 1 al 5 ¿Qué tan buen estudiante en línea consideras que eres?","¿Te gustaría volver a clases presenciales?"
"2021/08/11 2:40:49 PM CDT","Mujer","18","Soltero","No","No","53760","Actuaría","1101","2","Si","Sí","CCH","9.4","40 ","200","4800","Mi casa","5","4","0","2","3","26.58","Windows","1","7000","4","120","2","3","4","2","1","4","Si"
"2021/08/11 2:43:01 PM CDT","Hombre","18","Soltero","No","No","53270","Actuaría","1101","1","Si","Sí","CCH","9","10","100","70000","Mi casa","3","1","2","4","5","68.39","Windows","1","3000","2","180","3","2","3","2","1","5","Si"
"2021/08/11 2:43:24 PM CDT","Hombre","18 ","Soltero","Si","No","57400","Actuaría","1101","1","Si","Sí","Prepa UNAM","8.26","70 ","500","150000","Mi casa","3 ","1 ","2 ","7 ","5","81.4 ","Windows","0","27000","3","180","5","5","5","3","3","1","Si"
"2021/08/11 2:43:52 PM CDT","Hombre","18","Soltero","No","No","57720","Actuaría","1101","1","Si","Sí","Prepa UNAM","8.2","2","20000","20000","Mi casa","4","2","0","2","4","12.85","Windows","0","0","3","1 ","0","5","5","2","1","1","Si"
"2021/08/11 2:46:55 PM CDT","Mujer","17","Soltero","No","No","55024","Actuaría","1101","1","Si","No","Prepa UNAM","8.66","100","500","14000","Mi casa","2","1","1","5","4","3.95","Windows","0","20000","4","360","2","5","5","5","5","4","Si"
"2021/08/11 2:49:30 PM CDT","Mujer","18","Soltero","No","No","52940","Actuaría","1101","1","Si","Sí","CCH","9.81","40 ","150  ","8000 ","Mi casa","6","3","1","1","5","19.22","Windows","3","4000","2","12","5","5","5","5","2","4","Si"
"2021/08/11 2:52:16 PM CDT","Mujer","18","Soltero","No","No","01420","Actuaría","1101","1","Si","Sí","Prepa UNAM","8.54","70","40 ","20000","Casa de un familiar o amigo","4","1","0","1","2","25.51","Windows","1","7000","3","120","4","3","5","5","2","1","Si"
"2021/08/11 2:55:47 PM CDT","Hombre","18","Soltero","No","No","02070","Actuaría","1101","1","Si","Sí","Prepa UNAM","8.79","25 ","50","25000","Mi casa","6","2","1","2","4","19.61","Windows","0","1300","2","60","5","4","5","2","1","5","Si"
"2021/08/11 2:56:35 PM CDT","Hombre","17","Soltero","No","No","53427","Actuaría","1101","1","Si","Sí","CCH","8","8.3","250","12000","Mi casa","4","1","1","1","2","15.50","Windows","1","10000","3","60","10","5","5","5","1","2","Si"
"2021/08/11 2:58:51 PM CDT","Hombre","25","Soltero","No","No","02800","Actuaría","1101","1","Si","No","Otro","7.07","100","120","18000","Mi casa","3","1","3","2","3","30.54","MAC OS X","0","0","3","50","3","4","3","3","2","3","No"
"2021/08/11 2:59:30 PM CDT","Mujer","17","Soltero","No","No","07240","Actuaría","1101","1","Si","Sí","CCH","8.97","40","300","8","Mi casa","3","1","0","1","3","151.75","Windows","0","1000","3","3","5","4","3","3","1","3","Si"
"2021/08/11 3:07:15 PM CDT","Hombre","18","Soltero","No","No","54416","Actuaría","1101","1","Si","Sí","CCH","8.3","50  ","150","10000","Mi casa","4","2","1","2","2","7.97","Windows","1","10000","3","90","10","5","5","3","4","2","Si"
"2021/08/11 3:14:09 PM CDT","Mujer","18","Soltero","No","No","14480","Actuaría","1102","2","Si","Sí","Prepa UNAM","8.56","2","400","24000","Mi casa","3","0","0","3","3","30.58","Windows","0","2000","5","240","6","5","5","5","3","3","Si"
"2021/08/11 3:19:58 PM CDT","Hombre","19","Soltero","No","No","54740","Actuaría","1101","1","Si","Sí","Otro","9.5","37","150","15000","Mi casa","5","1","0","2","1","14.99","Windows","0","0","2","180","3","5","5","5","3","3","Si"
"2021/08/11 3:21:46 PM CDT","Hombre","19","Soltero","No","No","80028","Actuaría","1102","1","Si","Sí","Otro","9.8","30","200","20000","Mi casa","2","0","2","3","3","4.54","Windows","0","1500","4","60","3","5","5","1","1","4","Si"
"2021/08/11 3:23:46 PM CDT","Hombre","22","Soltero","No","No","02050","Actuaría","1101","1","Si","Sí","Prepa UNAM","8","20","100","50000","Mi casa","3","1","1","4","5","90","Windows","0","10000","5","200","0","5","5","5","3","5","Si"
"2021/08/11 3:27:00 PM CDT","Mujer","18","Tengo pareja","Si","No","55712","Actuaría","1101","1","Si","Sí","CCH","9","9.4","250","10000 ","Mi casa","3","1","0","1","3","43.28","Windows","0","4000","4","180","6","5","5","5","1","3","Si"
"2021/08/11 4:43:32 PM CDT","Hombre","19","Soltero","No","No","53400","Actuaría","1101","1","Si","Sí","CCH","8.63","40","250","3600","Mi casa","6","4","0","1","3","32.99","Windows","2","5500","3","6","2","5","5","5","1","4","Si"
"2021/08/11 4:45:20 PM CDT","Hombre","18","Tengo pareja","No","No","53660","Actuaría","1101","1","Si","Sí","CCH","9.68","15","200","20000","Mi casa","6","2","0","2","3","10","Windows","1","800","5","60","4","4","5","5","4","5","Si"
"2021/08/11 6:40:05 PM CDT","Hombre","18","Soltero","No","No","54745","Actuaría","1102","1","Si","Sí","CCH","9.2","80","600","25000","Mi casa","7","3","1","2","3","18.26","Windows","0","1000","5","240","30 ","5","5","2","2","1","No"
"2021/08/13 11:23:08 AM CDT","Hombre","18","Soltero","Si","No","034400","Actuaría","1103","1","Si","Sí","Prepa UNAM","8.6","90","1000","3000","Mi casa","3","2","0","1","3","27.53","MAC OS X","2","10000","3","180","1","1","1","1","1","3","No"
"2021/08/13 11:23:11 AM CDT","Mujer","21","Tengo pareja","Si","No","57000","Actuaría","1103","1","Si","No","CCH","7.7","30","10","9000","Mi casa","1","0","0","2","5","24.47","Windows","0","2000","2","180","4","5","5","5","3","4","Si"
